strain_raw,strain_cleaned,library,row,col,value,strain_mean,strain_std,z_score,reason
clminus,clminus,Lopac,C,5,5362.887,2142.1757,1182.5528,2.72,Extreme reading
clminus,clminus,Lopac,C,4,5014.77,2142.1757,1182.5528,2.43,Extreme reading
clminus,clminus,Lopac,C,3,5085.093,2142.1757,1182.5528,2.49,Extreme reading
clminus,clminus,Lopac,C,2,4725.285,2142.1757,1182.5528,2.18,Extreme reading
clminus,clminus,Lopac,C,1,4577.444,2142.1757,1182.5528,2.06,Extreme reading
clminus,clminus,Lopac,B,12,5467.647,2142.1757,1182.5528,2.81,Extreme reading
clminus,clminus,Lopac,B,11,4147.568,2142.1757,1182.5528,1.7,Extreme reading
clminus,clminus,Lopac,B,10,5653.956,2142.1757,1182.5528,2.97,Extreme reading
clminus,clminus,Lopac,B,9,5649.669,2142.1757,1182.5528,2.97,Extreme reading
clminus,clminus,Lopac,B,8,5571.302,2142.1757,1182.5528,2.9,Extreme reading
clminus,clminus,Lopac,B,7,5311.689,2142.1757,1182.5528,2.68,Extreme reading
clminus,clminus,Lopac,B,6,5094.939,2142.1757,1182.5528,2.5,Extreme reading
clminus,clminus,Lopac,B,5,4954.05,2142.1757,1182.5528,2.38,Extreme reading
clminus,clminus,Lopac,B,4,5608.589,2142.1757,1182.5528,2.93,Extreme reading
clminus,clminus,Lopac,B,3,5002.428,2142.1757,1182.5528,2.42,Extreme reading
clminus,clminus,Lopac,B,2,5119.052,2142.1757,1182.5528,2.52,Extreme reading
clminus,clminus,Lopac,B,1,4672.681,2142.1757,1182.5528,2.14,Extreme reading
clminus,clminus,Lopac,A,12,5016.895,2142.1757,1182.5528,2.43,Extreme reading
clminus,clminus,Lopac,A,11,5357.631,2142.1757,1182.5528,2.72,Extreme reading
clminus,clminus,Lopac,A,10,5404.977,2142.1757,1182.5528,2.76,Extreme reading
clminus,clminus,Lopac,A,9,5160.627,2142.1757,1182.5528,2.55,Extreme reading
clminus,clminus,Lopac,A,8,5285.662,2142.1757,1182.5528,2.66,Extreme reading
clminus,clminus,Lopac,A,7,5556.604,2142.1757,1182.5528,2.89,Extreme reading
clminus,clminus,Lopac,A,6,5110.402,2142.1757,1182.5528,2.51,Extreme reading
clminus,clminus,Lopac,A,5,5052.212,2142.1757,1182.5528,2.46,Extreme reading
clminus,clminus,Lopac,A,4,5096.09,2142.1757,1182.5528,2.5,Extreme reading
clminus,clminus,Lopac,A,3,4934.456,2142.1757,1182.5528,2.36,Extreme reading
clminus,clminus,Lopac,A,2,4822.994,2142.1757,1182.5528,2.27,Extreme reading
clminus,clminus,Lopac,A,1,4606.146,2142.1757,1182.5528,2.08,Extreme reading
clminus,clminus,Lopac,H,12,2008.226,2142.1757,1182.5528,-0.11,Extreme reading
clminus,clminus,Lopac,H,11,2368.77,2142.1757,1182.5528,0.19,Extreme reading
clminus,clminus,Lopac,H,10,2372.123,2142.1757,1182.5528,0.19,Extreme reading
clminus,clminus,Lopac,H,9,2356.71,2142.1757,1182.5528,0.18,Extreme reading
clminus,clminus,Lopac,H,8,2307.06,2142.1757,1182.5528,0.14,Extreme reading
clminus,clminus,Lopac,H,7,2300.961,2142.1757,1182.5528,0.13,Extreme reading
clminus,clminus,Lopac,H,6,2320.075,2142.1757,1182.5528,0.15,Extreme reading
clminus,clminus,Lopac,H,5,2328.435,2142.1757,1182.5528,0.16,Extreme reading
clminus,clminus,Lopac,H,4,2200.314,2142.1757,1182.5528,0.05,Extreme reading
clminus,clminus,Lopac,H,3,1024.87,2142.1757,1182.5528,-0.94,Extreme reading
clminus,clminus,Lopac,H,2,1908.696,2142.1757,1182.5528,-0.2,Extreme reading
clminus,clminus,Lopac,H,1,1928.266,2142.1757,1182.5528,-0.18,Extreme reading
clminus,clminus,Lopac,G,12,2368.103,2142.1757,1182.5528,0.19,Extreme reading
clminus,clminus,Lopac,G,11,2488.023,2142.1757,1182.5528,0.29,Extreme reading
clminus,clminus,Lopac,G,10,2556.608,2142.1757,1182.5528,0.35,Extreme reading
