"","BCK1_EDCT","BCK1_ED_FODCT","CLN2_EDCT","CLN2_ED_FODCT","FMP48_EDCT","FMP48_ED_FODCT","HOG1_EDCT","HOG1_ED_FODCT","IRE1_EDCT","IRE1_ED_FODCT","KSP1_EDCT","KSP1_ED_FODCT","MKK1_EDCT","MKK1_ED_FODCT","NNK1_EDCT","NNK1_ED_FODCT","NPR1_EDCT","NPR1_ED_FODCT","pdryCG196_EDCT","pdryCG196_ED_FODCT","pdryCG200_ED_FODCT","RIO1_EDCT","RIO2_EDCT","RIO2_ED_FODCT","Sc_hdip2uM_F12_9","Sc_hetdip2uM_S12_9","Sc_mata2uM_F12_9","Sc_mata2uM_S12_9","SLT2_EDCT","SLT2_ED_FODCT","TOR1_EDCT","TOR1_ED_FODCT","TOR2_EDCT","TOR2_ED_FODCT","WTScer1448_EDCT","WTScer1448_ED_FODCT","WTScer1450_ED_FICT","WT_het_dip_FO12_5","WT_mata_FO12_5"
"GK 01388","-5.2224","-6.39462","-18.7204","-3.76843","-7.29119","-11.8942","-5.00835","-4.91598","-29.5779","-9.15983","-20.1922","-10.092","-6.02126","-11.5026","-14.6287","-8.85639","-12.6558","-8.87567","-29.2245","-46.7628","-35.3285","-6.94021","-10.0521","-15.9056","-0.671463","-0.62517","-0.0133632","0.251342","-25.1766","-41.9038","-20.2846","-8.87685","-33.9248","-19.0456","-20.6078","-5.27301","-27.5508","-6.22719","-3.11363"
"GK 01394","-5.79422","-6.59219","-24.9664","-6.9481","-7.66278","-12.0611","-6.31634","-5.82981","-9.61414","0.505727","-20.8636","-10.4276","-2.67891","0.522146","-15.4508","-7.88673","-13.4969","-9.11229","-22.4569","-28.2406","-36.3359","-3.94109","-10.7979","-13.8742","-0.8156","-6.39714","-6.711","-4.05931","-21.889","-20.9401","-20.5877","-9.03604","-21.3367","-9.92796","-24.6748","-10.199","-29.1881","-9.55305","-4.43076"
"GK 01514","-4.41261","-3.09073","0.133924","0.607408","-6.4945","-3.79115","-1.29627","-0.58341","-16.2339","-0.1595","-15.8911","-0.231751","-2.729","0.399304","-10.6045","-0.141629","-11.6365","-6.31682","-30.3076","-47.0535","-36.3359","-3.56584","-6.00541","-1.38084","-0.35174","-0.0642154","-0.416124","0.285862","-26.0643","-40.7289","-20.188","-8.2148","-17.1752","-0.405476","0.278812","1.37597","-13.4478","0.794903","0.547932"
"GK 01970","-0.709747","-0.415722","-9.16374","-0.878397","-1.399","-0.456644","-1.03439","-0.96836","-9.15943","-0.724179","-6.58947","-0.347716","-1.45144","-0.868603","-3.25205","-1.3663","-2.81956","-0.0487647","-29.5162","-45.8877","-35.1327","-1.31537","-1.60338","-0.618828","-2.53028","0.10858","-3.54445","-1.83323","-6.84558","-5.43434","-3.72498","-0.44949","-5.07162","-1.32711","-5.32102","-0.802895","-4.66598","-0.416211","-0.274009"
"GK 02019","-5.66335","-6.42254","-24.7639","-6.81567","-7.67879","-12.0491","-5.8411","-5.50886","-19.6355","-2.94509","-20.8997","-10.3018","-4.95871","-5.33904","-17.0205","-20.6972","-13.4973","-8.87567","-29.7057","-46.1816","-35.9362","-6.48749","-10.7472","-18.3702","-39.4324","-13.6594","-24.3435","-7.19384","-27.3922","-42.6739","-20.7196","-8.98575","-34.3263","-9.64909","-24.7213","-12.0542","-29.002","-9.37554","-4.31734"
"GK 02199","-5.03162","-2.40596","-24.2025","-6.4874","-5.88846","-2.45918","-6.18527","-5.63027","-4.21741","0.505727","-20.0125","-9.11623","-0.896225","0.222454","-5.8839","0.467221","-13.2201","-8.58733","-17.8262","-22.663","-33.6889","-3.2219","-6.72404","-1.99221","-2.83149","-1.3582","-0.355697","-0.0409916","-3.68556","-0.287918","-20.1889","-8.49153","-17.0533","-0.728568","-24.4342","-6.17809","-26.4717","-9.10274","-4.22243"
"GK 02269","-3.60697","-0.0123017","-9.47082","0.267578","-3.46438","0.36528","-3.45916","-1.0006","-10.7092","0.505727","-5.82","0.606787","-2.24843","0.307021","-10.9161","-0.825083","-7.51034","0.0640512","-21.8018","-23.3259","-30.4424","-3.50666","-6.72573","-1.48792","-0.665596","-1.41254","0.337512","-0.450136","-17.5853","-2.79849","-13.7544","-0.0222132","-19.9209","-1.32711","-9.28963","1.29579","-19.9597","-0.00521029","0.221498"
"GK 02387","-4.83547","-0.555357","-23.2616","-3.95965","-7.73503","-10.5126","-5.08528","-3.11612","-29.4727","-5.03264","-20.0899","-7.34443","-5.29285","-1.21429","-11.9669","0.179267","-13.6325","-4.87744","-30.3377","-46.7628","-35.9362","-5.10013","-7.1353","0.592383","0.307816","-1.00368","-0.338391","-0.567302","-28.0097","-41.1734","-18.2775","-2.5612","-30.0769","0.92086","-24.0765","-3.00225","-27.6252","0.38344","-1.8441"
"GK 02434","-0.957278","-0.209873","-8.9678","-0.337114","-0.973584","-0.015938","-1.52368","-0.820469","-11.0647","-0.247063","-2.22843","-0.159108","-2.04675","-0.576626","-1.81896","-0.611733","-2.8199","-0.239157","-27.4922","-32.4368","-29.0556","-0.76962","-1.01845","0.0654211","0.0944816","-0.888205","-0.869096","-0.531196","-5.12722","-2.43539","-2.77363","-0.0641711","-2.90269","-0.15381","-6.77204","-0.574063","-2.32168","0.0785497","-0.0120527"
"GK 02545","-0.88443","0.274231","-6.35529","0.215728","-0.677342","0.853858","-0.2506","-0.168863","-9.12234","0.546808","-0.0685759","0.669656","-1.622","0.222454","-0.140988","0.897407","-2.00611","0.614861","-29.0087","-44.4214","-35.1245","-0.372532","-0.361164","0.499964","0.321526","0.149009","0.0952533","0.39641","-3.43818","0.48217","-1.53084","0.371434","-1.35486","0.250891","-3.86085","0.698259","-0.386706","0.322462","0.229845"
"GK 02596","-5.94554","-6.4753","-23.4029","-5.70404","-7.27797","-9.42775","-6.19446","-5.34287","-27.9537","-3.74833","-18.7006","-7.55343","-6.42944","-11.6872","-14.4466","-7.74798","-13.9458","-8.71114","-30.6306","-46.7628","-35.7323","-6.68235","-9.70042","-13.1962","-0.315412","-0.340729","0.873013","0.579303","-28.1201","-42.8763","-20.5451","-8.66738","-33.4465","-17.1615","-23.7262","-8.24751","-26.8438","-8.2324","-3.88809"
"GK 02599","-4.05743","0.193547","-12.3397","0.647699","-3.62214","0.389216","-3.48431","-0.142377","-20.574","0.0696924","-7.22059","0.596168","-4.0968","-0.0540929","-2.9064","0.682314","-8.3676","0.0899099","-28.2325","-43.2425","-34.3129","-2.54503","-2.97889","-0.803666","-0.0608546","0.23057","0.878874","0.719432","-22.1079","-12.5216","-11.9123","-0.131114","-13.6728","-1.07544","-15.2261","1.22","-10.3221","-0.723074","0.274265"
"GK 02713","-1.41387","0.443875","-6.77539","0.359719","-0.975311","0.925314","-1.42898","-0.394894","-10.9653","0.427529","0.886853","0.606787","-2.06116","0.145602","0.548094","0.789861","-3.55748","0.470694","-30.1248","-45.5905","-35.9321","-0.46791","-0.266975","1.21176","-0.713002","0.579397","-0.933806","0.296138","-9.22484","0.887032","-0.320232","0.388091","-2.16815","1.82889","-6.64061","0.402419","-0.423917","0.765153","0.290202"
"GK 02901","-0.409117","0.0778226","1.58822","0.392585","-0.079724","0.770434","0.101316","-0.575164","-1.52149","0.285315","-1.0409","0.203544","-0.829287","0.442966","-0.655483","0.190488","-0.387253","0.468005","-28.248","-45.4157","-35.1164","0.0439715","0.0460492","0.651806","0.611504","0.189333","0.83097","0.362226","-1.1309","-1.63625","-0.865665","0.21558","-0.43235","0.407519","3.39394","0.477576","-0.388765","0.0893417","0.0705718"
"GK 02915","-6.04444","-6.54986","-24.6398","-6.84659","-7.88921","-11.9557","-6.37138","-5.42593","-31.0408","-9.53938","-21.1278","-10.2433","-6.50872","-12.248","-16.8508","-19.9853","-14.0577","-8.89606","-28.9258","-47.1403","-36.3359","-7.36709","-10.9231","-18.3646","-1.35312","-0.903441","-1.0654","-0.596712","-28.6721","-43.1373","-21.1819","-8.94658","-36.16","-21.0135","-25.0262","-11.8788","-28.9797","-9.50608","-4.37487"
"GK 03000","-1.64873","-0.0120647","-3.81081","-0.108413","-1.09524","0.161467","-0.228618","-0.32943","-4.31732","0.0388507","-4.08351","-0.0661862","-1.33962","0.0887906","-2.49666","-0.447555","-2.49891","0.273286","3.30078","-1.72465","-11.0978","-1.41307","-1.59435","-0.00169268","0.568998","-0.490754","-0.957073","-0.815069","-8.43798","-1.71887","-3.19435","0.157563","-4.58506","0.277995","0.0253327","0.399339","-4.36544","0.256006","0.0472874"
