,CIN2,Cln3,dep1,ESC2,GAS1,Gim3,HOC1,KRE1,LGE1,MRC1,MT1450,MT2481,MT2544,NOP13,NOP16,NUM1,Pac10,SAP30,SAP30-SC,smi1,Tep1,whi3,whi5,WT,WT-20uM,WT-20uM-SC,ynl224c
LOPAC 00040,-1.32119,-1.21367,-0.891236,-2.91007,0.123281,0.138025,0.261878,-1.19936,-1.88343,-0.792812,0.0671076,-0.732013,0.0927884,-0.537035,-0.856957,0.196506,-0.475009,-0.974537,-0.322785,-0.985444,-0.3419,-0.563117,-0.963431,0.310611,-1.02751,-0.357838,0.287198
LOPAC 00041,-0.122694,0.0982594,0.00589559,1.29694,1.35756,-0.107236,1.40107,0.678281,1.36039,-0.599773,0.560151,0.100344,0.316722,-0.0968717,1.32047,0.0762248,-1.24219,0.253737,0.714928,0.656467,-0.173726,-0.922206,-0.121342,-1.59428,-0.366323,1.62135,0.13998
LOPAC 00042,-0.243743,-0.405445,0.620651,0.535949,-1.60694,0.296851,0.106964,0.613231,0.405641,0.0653816,-0.761666,-1.06077,0.138437,-1.19668,-0.597695,0.0107815,-0.313565,-0.986985,0.789126,1.26726,-0.31555,-0.890586,0.442535,-0.814558,-0.461555,0.453888,-0.968917
LOPAC 00043,0.220793,0.71574,-0.421077,0.0202782,0.318394,1.28999,-0.419138,0.102497,0.287681,0.332578,-0.303769,0.486086,0.0424363,0.778562,0.510163,0.365135,0.730896,0.200739,-0.651087,-1.52848,-0.197586,0.307771,1.92151,0.0166215,0.121153,-0.217414,-0.28304
LOPAC 00044,1.5671,0.0674669,1.662,1.26935,1.05598,0.495144,0.534226,1.25533,1.10475,1.37345,-4.43893,0.0774404,0.312729,0.125923,1.95522,0.348751,0.607436,1.03013,1.32403,1.43561,-0.982036,0.0599333,0.165287,-0.685387,1.20561,0.746597,-0.23829
LOPAC 00045,1.03214,-0.290145,0.715392,0.242224,-0.199467,0.662199,-0.246223,0.947076,0.721717,0.5606,0.164353,1.40808,0.503733,0.164779,1.48953,0.552793,0.0183756,-0.060237,0.879349,0.442929,-0.466014,0.156253,-0.323411,-1.01367,0.583858,0.886691,-0.0147474
LOPAC 00046,1.24923,0.344448,-0.0336893,-0.157907,0.414097,0.00896028,0.0261358,0.089585,-0.301329,0.413483,0.476596,0.793988,-0.190932,0.520205,0.175124,0.573178,1.0043,0.82258,0.592452,0.422486,0.077267,0.197764,-0.0555063,0.208228,0.354571,-0.0234414,0.123427
LOPAC 00047,-0.0189685,-0.415133,0.474458,0.266242,-0.384634,-0.259863,0.130987,-0.329641,0.22952,-0.166366,0.0365712,-0.7063,-0.277776,0.439734,-0.321622,-0.0283446,0.246315,-0.111532,-0.125908,-0.0170301,-0.272094,-0.0525605,-0.279447,-0.303093,-0.00746299,0.340661,1.28753
LOPAC 00048,0.263261,1.32991,0.49071,1.33432,-0.238098,0.0540867,0.435112,0.71562,0.23976,0.905288,-0.221028,-0.504082,-0.66047,0.105641,1.36958,-0.138589,1.05922,-0.306423,0.935552,-0.139666,0.215828,0.510572,0.0378043,-0.232255,-0.126922,0.921939,-0.26181
LOPAC 00049,-0.471765,-0.706632,-0.81534,-2.24278,0.67911,0.0883715,1.02668,-0.664964,-0.19529,-0.574147,0.342341,0.786848,0.550687,-2.10965,-1.21641,1.02188,-0.255945,-0.0486298,0.326519,-0.905222,0.319015,-0.367271,0.238829,0.650529,-0.704217,-0.970015,-0.0854931
LOPAC 00050,0.170007,-0.0268705,0.615131,-0.155555,0.414252,0.224663,-0.634993,-0.0742099,0.379982,-0.470295,0.287288,-0.093541,0.680336,-0.1219,-1.04223,-0.253896,0.916389,0.13525,-0.462574,0.129752,0.217893,0.0123371,0.0569697,-0.364409,-0.1426,-0.39912,-0.000419318
LOPAC 00051,0.0113943,-0.0742777,0.469476,0.353882,-0.215308,0.112015,0.0562419,0.391309,0.154361,0.27739,1.60529,0.17099,1.06017,0.0554267,-0.120943,-0.0419312,0.258447,0.039791,0.146171,0.0139857,0.246441,0.310797,0.107524,0.147189,0.144025,0.144342,0.270341
